당분간 삼촌이랑 숙모랑 사는 거야.	나도 같이 갈래.
굿 모닝, 파커.	굿 모닝, 플래시.
얘, 네가 피터지?	응, 내 이름은 피터야.
사진 잘 찍더라.	고마워.
금요일 밤에 바빠?	아니.
잘됐다. 내 남자친구 차 사진 찍어 줄래? 액자에 넣어서 생일선물로 주려고.	그거 괜찮네. 좋은 아이디어야. 시간 되는지 봐서 알려줄게.
파커! 사진 한방 박아.	사진은 무슨. 그만하고 이제 내려와.
아까 멋지던걸?	바보 같았지만 멋졌어.
저녁이 미트볼 스파게티라고?	좋아하면서 반응이 시원찮네?
얼굴이 왜 그래? 	스케이트보드 타다 넘어졌어. 괜찮아.
멍청하고 위험하니까. 우리도 그랬다.	그것 참 위로되네.
콘덴서 고장인가?	물바다 될 정도면 냉매 파이프가 터졌을 거야.
고칠 수 있어?	내일 철물점에서 부품 사올게.
어떻게 오셨죠?	코너스 박사님 만나러요.
본인 이름표 없어요?	아뇨 찾았어요.
장애가 없는 세상을 만드는 게 내 꿈이죠. 방법을 맞혀볼 분?	이종교배 유전학요. 파킨슨 병의 원인은 도파민을 만드는 뇌세포 손실인데 제브라피시는 의지대로 세포를 만들 수 있죠.
여기서 뭐 해?	인턴이라고 거짓말 해 봐야 네가 인턴이니까 안 통하겠네.
날 따라온 거야?	그런 거 아냐. 인턴인지도 몰랐어.
그러면?	몰래 들어왔어. 과학을 사랑해서.
뭐라고?	열정이 넘치지.
얼마나 걱정했다고.	저 때문에 못 주무시고 죄송해요.
피터, 거기서 뭐 해?	그냥... 숙제 해요.
그때 그 인턴이군.	기억 못하시겠지만... 네, 맞아요.
반사신경 좋구나.	감사해요.
공 줘. 파커.	어서, 가져가. 가져가 봐. 눈 가릴까? 됐지? 이럼 어때?
장난해?	가져가, 플래시. 
그럼 내 사진 없어?	토론 클럽 단체 사진에 너도 있지.
손장난?	그게... 묵비권 행사할래.
퇴학 당했어?	퇴학은 아니고 그냥 봉사활동.
저건 엑스레이 비디오, 세상에 단 하나뿐이지.	저거, 기억나요. 본 적 있어요. 가날리 장비.
백신을 넣고 발사하면 백신 연무가 도시를 뒤덮어 이론적으로는 반나절이면 소아마비가 정복돼.	굉장하네요.
숙모한테 잘못했다고 해. 당장 들어가서 사과해.	죄송해요, 숙모. 
남을 도울 능력이 되면 도와야 한다고 믿었어. 근데 널 봐라. 그건 선택이 아냐, 책임이지.	좋은 철학이네요. 다 좋은데 아빠는 어디 있죠?
범인 몽타주인데 한 번 보세요.	누군지 몰라요.
강력계 형사들이 수사 중이니까 좀 기다려 보죠.	네. 그거 주실래요?
피터, 요즘 힘들어하는 거 알아. 안쓰럽기도 하고, 어떤 마음일지 이해한다.	오늘은 건들지 마.
속도 벡터는 질량과 가속에 의해 결정돼.	웃기지 마. 질량과 속도는 아무 상관없어.
너 뭐야? 경찰이야?	진짜? 내가 경찰로 보여? 이런 총천연색 쫄쫄이 입었는데?
날 보내 줘.	그거 칼이야? 진짜 칼?
이게 뭐야?	내가 만든 거미줄. 그렇게만 알아 둬.
그만하고 보내 줘! 재미 없다고!	난 재미있는걸?
꼼짝 마.	경찰 아저씨 오셨네!
너 누구야?	말해줄 것 같음 마스크 안 썼죠.
꼼짝 마!	대신 잡아줬는데 이런 식으로 보답해요?
안녕, 어디 가?	월요일에는 B반이야.
눈은 왜 그래?	몰라. 뭐가 났는지....
어떻게 올라왔어?	비상사다리 타고. 경비 아저씨가 무서워 보여서.
20층인데?	별거 아니던걸 뭐.
네가 피터구나.	처음 뵙겠습니다.
범죄단체 잡으려고 6개월을 공들였다. 전략이었지.	그자는 그걸 몰랐던 거죠.
누구 편이야?	아무 편도 아니에요.
인터넷에서 봤다고? 수사 접어야겠네.	그 동영상 보내드릴까요?
인터넷에서는 마스크 쓴 영웅이라고 떠받들겠지.	영웅이라는 뜻 아니에요. 경찰이 못하는 일을 대신 하고 있는 거죠.
경찰은 다 처박혀서 도넛만 먹는 줄 알아?	경찰처럼 악당한테서 시민을 보호하잖아요.
불꽃이 튀더라.	미안해. 체포되는 줄 알았네.
얼굴은 왜 그런 거야?	물렸는데... 
살려줘!	날 봐. 나도 사람이야, 그치? 
못 하겠어요.	마스크를 써. 그러면 힘이 날 거야. 날 믿어.
또 누가 알아?	너뿐이야.
그 생명체 어떻게 생겼어?	사람이라기에는 너무 컸어.
당분간 조용히 지내.	그렇게는 못해.
왜?	그 괴물이 다리에 있던 사람들을 해치려 했어. 막아야 해.
그건 네 일이 아냐.	어쩌면 내 일이야.
너랑 키스하는 거, 좋았어.	키스 잘하더라.
학교는?	중간에 수업이 비어서요. 물어볼 게 있는데.
못해. 대부분의 파충류는 먹이사슬 꼭대기야. 자기 영역의 왕이지.	그래도 약점이 있겠죠?
왜 냉혈동물에 갑자기 관심 갖지?	그냥 물어보는 거예요. 학교 숙제라... 생물 숙제요.
학교에 있을 시간이잖아?	수업 비었어요.
난 시간 없으니까 용건만 빨리 말해.	거대한 공룡은 없겠지만 더 위험한 사람이 있어요.
누구?	코너스 박사님이요.
근데 그 사람이 여가시간에 공룡 옷을 입고 설친다고?	자기 자신을 도마뱀으로 만들었어요.
내가 도쿄 시장으로 보이냐?	전부 사실이에요. 평생 이종교배를 연구한 분이에요.
피터, 어떻게 된 거야?	한 판 붙었어. 돌연변이 도마뱀이랑. 일명 리자드맨.
코코아 마실래? 하워드가 탄대.	나 17살이거든? 코코아 마실 나이 지났어.
참아 줘, 벌레 친구.	뭐? 벌레 친구?
난 아주 어렸을 때부터 아빠가 아침마다 경찰배지 달고 권총 차고 출근하시면 밤에 무사히 집에 오실까 하루종일 걱정했어.	이해해. 알아, 알지만... 내가 막아야 돼. 내가 만든 괴물이니까.
무슨 소리야?	내가 공식을 풀어 줬어. 혈청 만드는 공식. 우리 아빠가 오랫동안 비밀리에 연구하신 거. 이렇게 된 건 내 책임이야. 내가 바로잡아야 돼.
남들과 달라서 고통 받는 사람들 내가 고쳐 줄 수 있어. 그러니 날 막지 마! 	이성을 찾으세요. 이건 박사님이 아니에요! 대화로 풀자고요.
